issue_id,issue_title,issue_description,category,affected_models,first_seen_timestamp,last_seen_timestamp
issue_0000,USB-C charging intermittent,Laptop charges inconsistently via USB-C port,power,"XPS 13 Plus, Latitude 7430",2025-10-05 04:01:13,2025-11-22 16:10:13
issue_0001,Keyboard keys double typing,Certain keys register double inputs randomly,input,"Inspiron 14 5000, Latitude 5420",2025-11-22 03:00:13,2025-11-21 18:04:13
issue_0002,Sudden battery percentage drops,Battery indicator shows sudden drops from 50% to 10%,battery,"XPS 13 9310, XPS 13 9315",2025-10-08 19:01:13,2025-12-02 23:08:13
issue_0003,Fan control not working after firmware update,Fans running at maximum speed constantly,firmware,"Precision 5570, Latitude 7530",2025-11-30 12:36:13,2025-11-28 08:14:13
issue_0004,Bottom panel warping,Base cover developing visible warping/bulging,build_quality,"XPS 15 9520, G15 Gaming",2025-10-04 07:59:13,2026-01-06 13:07:13
issue_0005,Thunderbolt 4 ports not working,No devices recognized on Thunderbolt ports,ports,"XPS 13 Plus, XPS 15 9530",2025-09-13 03:14:13,2025-12-14 16:04:13
issue_0006,Slow SSD write speeds,Write speeds significantly lower than advertised,storage,"G15 5520, Alienware M15 R7",2025-09-30 15:57:13,2026-01-27 04:47:13
issue_0007,CPU overheating during normal tasks,CPU temperatures reaching 95°C+ during web browsing,thermal,"XPS 15 9520, XPS 17 9720",2025-08-11 20:13:13,2026-01-09 18:01:13
issue_0008,Bluetooth audio lag and stuttering,Significant audio delay with Bluetooth headphones,connectivity,"Latitude 7430, XPS 15 9520",2025-12-23 07:40:13,2025-11-19 06:51:13
issue_0009,BIOS update causing boot failure,System won't boot after BIOS update to version 2.5.0,firmware,"XPS 15 9520, XPS 17 9720",2025-08-11 01:07:13,2025-11-16 16:17:13
issue_0010,Battery draining rapidly on Dell XPS 15,Battery life reduced to 2-3 hours from original 8 hours,battery,"XPS 15 9520, XPS 15 9530",2025-09-10 03:11:13,2026-01-05 14:33:13
issue_0011,Screen flickering on startup,Display flickers for first 2-3 minutes after boot,display,"XPS 17 9720, Precision 5570",2025-08-15 13:10:13,2025-10-31 04:47:13
issue_0012,SSD not detected after sleep,NVMe drive disappears after waking from sleep mode,storage,"XPS 13 9315, Inspiron 16 Plus",2025-12-03 02:44:13,2025-11-07 03:52:13
issue_0013,Battery not charging beyond 80%,Dell laptop battery stuck at 80% charge level,battery,"Inspiron 15 5000, Latitude 5420",2025-08-09 20:06:13,2025-12-26 13:52:13
issue_0014,USB ports stopped working suddenly,All USB-A ports non-functional simultaneously,ports,"Inspiron 15, Latitude 5430",2025-08-04 07:09:13,2026-01-09 08:25:13
issue_0015,Hinge loosening after 4 months,Display hinge becoming loose and wobbly,build_quality,"Inspiron 15 5000, Inspiron 14",2025-09-23 06:27:13,2025-11-28 14:29:13
issue_0016,Intel WiFi 6 AX201 compatibility issues,Incompatible with certain router configurations,connectivity,Multiple models with AX201 card,2025-11-19 23:14:13,2025-12-31 12:20:13
issue_0017,Trackpad click not registering,Physical trackpad clicks intermittently not working,input,"XPS 13 Plus, XPS 15 9530",2025-09-10 01:14:13,2025-12-13 05:06:13
issue_0018,Laptop too hot to touch,Bottom chassis temperature exceeds safe handling levels,thermal,"Inspiron 14, Vostro 15",2025-10-30 06:17:13,2025-10-29 14:15:13
issue_0019,Sticky keyboard keys after 3 months,Multiple keys becoming sticky and unresponsive,input,"G15 Gaming, XPS 17",2025-08-31 23:59:13,2025-11-17 04:22:13
issue_0020,Windows Hello face recognition fails,IR camera not recognizing user after driver update,software,"XPS 13 Plus, Latitude 7000 series",2025-10-13 10:00:13,2026-01-15 12:14:13
issue_0021,Power adapter overheating,Charger becomes extremely hot during use,power,"XPS 15, XPS 17",2025-09-02 08:56:13,2026-01-01 14:12:13
issue_0022,Microphone not working after Windows update,Built-in microphone stopped functioning after update,audio,"Inspiron 15, Latitude 5430",2025-12-16 18:59:13,2025-11-23 09:35:13
issue_0023,Backlight bleeding on edges,Significant backlight bleed visible on dark screens,display,"Inspiron 16 Plus, G15 Gaming",2025-12-20 23:17:13,2026-01-18 05:35:13
issue_0024,Dell Update service causing high CPU usage,Dell Update process consuming 30-40% CPU constantly,software,All models with Dell Update,2025-10-09 01:46:13,2026-01-01 04:33:13
issue_0025,Intel Graphics driver crashes,Frequent driver crashes with error code 0x00000116,software,"XPS 13, XPS 15, Inspiron series",2025-11-27 02:47:13,2025-11-24 20:09:13
issue_0026,Palmrest discoloration,White palmrest turning yellow/brown after months,build_quality,"XPS 13 9310 white, XPS 13 Plus white",2025-12-12 03:19:13,2025-11-28 18:23:13
issue_0027,WiFi disconnecting randomly,WiFi drops connection every 10-15 minutes,connectivity,"XPS 13 9310, Inspiron 15 3000",2025-08-21 15:18:13,2025-11-09 17:20:13
issue_0028,Thermal throttling in games,Performance drops significantly after 15 minutes of gaming,thermal,"G15 5520, Alienware M15 R7",2025-09-23 18:08:13,2025-12-15 08:10:13
issue_0029,Dead pixels appearing after 6 months,Multiple dead pixels developing on OLED display,display,"XPS 13 Plus, XPS 15 OLED",2025-08-06 16:08:13,2025-12-21 05:21:13
issue_0030,Audio crackling and popping,Speakers produce crackling sounds at medium-high volume,audio,"XPS 13 9315, Latitude 7430",2025-09-06 17:53:13,2025-12-11 01:40:13
